,id,name,popularity,artist_name,explicit,release date,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,playlist name
3350,0c6DDLA4rsGGNXWZM5oZdS,Doubt It,0,KYLE,True,2016-08-19,0.718,0.773,-6.512,1,0.426,0.487,0.0,0.0926,0.764,74.857,"['pop rap', 'rap']",Sing-Along Current
3351,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),83,Shakira,False,2005-11-28,0.778,0.824,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",Sing-Along Current
3352,5GRAeHxQLh6GXPxlTZREWN,Fake Love,49,William Singe,True,2016-12-12,0.658,0.324,-10.894,0,0.437,0.18,0.0,0.0935,0.502,114.631,"['deep pop r&b', 'pop', 'urban contemporary']",Sing-Along Current
3353,5MMLS3xm12D7N26xlfFApr,Runaway Baby,66,Bruno Mars,False,2010-10-05,0.656,0.767,-3.038,1,0.0396,0.25,0.0,0.114,0.871,163.834,"['dance pop', 'pop']",Sing-Along Current
3354,49FYlytm3dAAraYgpoJZux,Umbrella,80,Rihanna,False,2008-06-02,0.583,0.829,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",Sing-Along Current
3355,6KOEK6SeCEZOQkLj5M1PxH,California Gurls,64,Katy Perry,False,2010-01-01,0.788,0.753,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005,"['dance pop', 'pop', 'post-teen pop']",Sing-Along Current
3356,3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,78,Miley Cyrus,False,2009-01-01,0.652,0.698,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,"['dance pop', 'pop', 'post-teen pop']",Sing-Along Current
3357,1rN55j78K87LEfRKZsSFYm,Body Language (feat. Usher & Tinashe),52,Kid Ink,True,2015-01-02,0.882,0.53,-5.771,0,0.0379,0.0187,0.0,0.097,0.256,99.015,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Sing-Along Current
3358,4gyRjB6sfjvmJLMv3V21M3,Broke (feat. Stevie Wonder and Keith Urban),42,Jason Derulo,False,2015-05-29,0.614,0.599,-5.315,0,0.156,0.0656,0.0,0.0509,0.681,179.955,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",Sing-Along Current
3359,4orphgwPHHRsdEkfUmANSD,"Honey, I'm Good.",0,Andy Grammer,False,2014-01-01,0.753,0.796,-6.406,1,0.0576,0.0378,0.0,0.331,0.605,122.025,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",Sing-Along Current
3360,4ycLiPVzE5KamivXrAzGFG,Fuck You,68,CeeLo Green,True,2010-11-09,0.69,0.834,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43,['atl hip hop'],Sing-Along Current
3361,6FE2iI43OZnszFLuLtvvmg,Classic,79,MKTO,False,2012,0.72,0.791,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'viral pop']",Sing-Along Current
3362,6RcQOut9fWL6FSqeIr5M1r,Hollaback Girl,8,Gwen Stefani,True,2004-10-27,0.918,0.918,-2.218,0,0.0954,0.344,5.35e-06,0.0243,0.882,110.024,"['dance pop', 'europop', 'hip pop', 'pop', 'pop rock', 'post-teen pop', 'urban contemporary']",Sing-Along Current
3363,2d8JP84HNLKhmd6IYOoupQ,Trap Queen,75,Fetty Wap,True,2015-09-25,0.746,0.873,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Sing-Along Current
3364,26rdOwwjC2UnweK3xeS58u,GDFR (feat. Sage the Gemini & Lookas),69,Flo Rida,False,2015-04-07,0.657,0.827,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",Sing-Along Current
3365,2S5LNtRVRPbXk01yRQ14sZ,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",69,Flo Rida,False,2015-04-07,0.854,0.766,-4.697,0,0.141,0.0242,0.0,0.0793,0.784,118.004,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",Sing-Along Current
3366,5NQbUaeTEOGdD6hHcre0dZ,679 (feat. Remy Boyz),76,Fetty Wap,True,2015-06-29,0.618,0.717,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Sing-Along Current
3367,0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,77,Drake,False,2016-05-06,0.891,0.625,-7.861,1,0.0558,0.00261,0.000176,0.0504,0.548,134.967,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Sing-Along Current
3368,27GmP9AWRs744SzKcpJsTZ,Jumpman,74,Drake,True,2015-09-20,0.852,0.553,-7.286,1,0.187,0.0559,0.0,0.332,0.656,142.079,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Sing-Along Current
3369,2a62Uiv6FFpxQVcfMdr0hM,Evil Woman,35,Mike Posner,True,2009-12-15,0.778,0.792,-4.968,1,0.0331,0.0242,7.18e-05,0.0771,0.677,122.087,"['dance pop', 'pop', 'pop rap']",Sing-Along Current
3370,4fTHdMTq0Znl3djLI1Typn,Cheerleader (Felix Jaehn Remix) - Radio Edit,54,OMI,False,2015-01-23,0.827,0.576,-7.774,1,0.0372,0.184,0.029,0.0656,0.41,118.04,"['dance pop', 'tropical house']",Sing-Along Current
